asn,org,prefix,center_ip,city,score
3462,HiNet,149.117.216.0/24,149.117.216.128,Taipei,8
4780,SEEDNet,61.56.200.0/24,61.56.200.128,Neihu District,5
4780,SEEDNet,49.213.175.0/24,49.213.175.128,Taichung,8
4780,SEEDNet,106.104.33.0/24,106.104.33.128,Tainan City,5
4780,SEEDNet,61.61.156.0/24,61.61.156.128,New Taipei City,5
3462,HiNet,107.155.30.0/24,107.155.30.128,Kaohsiung,8
4780,SEEDNet,123.51.133.0/24,123.51.133.128,Taoyuan District,5
4780,SEEDNet,210.244.71.0/24,210.244.71.128,Banqiao,5
9924,TFN,61.31.25.0/24,61.31.25.128,Songshan,5
4780,SEEDNet,106.105.17.0/24,106.105.17.128,Chiayi City,5
3462,HiNet,202.126.76.0/24,202.126.76.128,Hsinchu,8
4780,SEEDNet,122.146.97.0/24,122.146.97.128,Yingge District,5
4780,SEEDNet,175.181.29.0/24,175.181.29.128,Zhongli District,5
4780,SEEDNet,210.66.46.0/24,210.66.46.128,Chiyayi County,5
4780,SEEDNet,122.146.89.0/24,122.146.89.128,Zhubei,5
4780,SEEDNet,106.105.32.0/24,106.105.32.128,Chang-hua,5
4780,SEEDNet,203.70.11.0/24,203.70.11.128,Shenkeng District,5
4780,SEEDNet,112.105.8.0/24,112.105.8.128,Yunlin,5
9924,TFN,219.86.143.0/24,219.86.143.128,Nantou City,5
4780,SEEDNet,210.243.128.0/17,210.243.192.0,Hsinchu County,0
4780,SEEDNet,123.205.246.0/24,123.205.246.128,Yilan,5
4780,SEEDNet,61.59.6.0/24,61.59.6.128,Shulin District,5
4780,SEEDNet,106.104.85.0/24,106.104.85.128,Taoyuan,5
1659,TANet,203.71.10.0/23,203.71.11.0,Tamsui,4
1659,TANet,120.96.144.0/20,120.96.152.0,Dazhi,1
3462,HiNet,36.239.0.0/16,36.239.128.0,Pingtung City,0
4780,SEEDNet,123.51.155.0/24,123.51.155.128,Hualien City,5
4780,SEEDNet,123.51.163.0/24,123.51.163.128,Sanchong District,5
4780,SEEDNet,112.104.154.0/24,112.104.154.128,Miaoli,5
4780,SEEDNet,123.205.105.0/24,123.205.105.128,Douliu,5
4780,SEEDNet,175.182.40.0/24,175.182.40.128,Xitun,5
9924,TFN,60.198.144.0/21,60.198.148.0,Caotun,2
4780,SEEDNet,49.213.170.0/24,49.213.170.128,Yuanlin,5
4780,SEEDNet,106.104.160.0/24,106.104.160.128,Fongshan District,5
4780,SEEDNet,106.107.183.0/24,106.107.183.128,Taichung City,5
4780,SEEDNet,122.147.210.0/24,122.147.210.128,Da'an,5
4780,SEEDNet,211.78.4.0/24,211.78.4.128,Yongkang District,5
3462,HiNet,218.166.0.0/16,218.166.128.0,Taitung,0
9924,TFN,175.96.0.0/17,175.96.64.0,Poxin,0
4780,SEEDNet,61.66.106.0/24,61.66.106.128,Fengyuan,5
4780,SEEDNet,106.105.64.0/24,106.105.64.128,Wufeng District,5
4780,SEEDNet,123.205.0.0/24,123.205.0.128,Unknown,5
4780,SEEDNet,203.73.64.0/24,203.73.64.128,Xizhi District,5
3462,HiNet,128.1.102.0/23,128.1.103.0,Singapore,4
9924,TFN,103.123.188.0/23,103.123.189.0,Tuniugou,4
4780,SEEDNet,61.58.16.0/20,61.58.24.0,Taibao,1
9924,TFN,180.92.0.0/20,180.92.8.0,Puzi,1
3462,HiNet,1.172.0.0/16,1.172.128.0,Kinmen County,0
3462,HiNet,114.42.0.0/16,114.42.128.0,Puli,0
3462,HiNet,114.47.0.0/16,114.47.128.0,Jincheng,0
3462,HiNet,203.74.0.0/16,203.74.128.0,Bade District,0
3462,HiNet,210.61.0.0/16,210.61.128.0,Daan,0
3462,HiNet,220.128.96.0/19,220.128.112.0,Guishan,0
3462,HiNet,220.133.0.0/16,220.133.128.0,Yangmei District,0
1659,TANet,134.208.0.0/16,134.208.128.0,Shoufeng,0
1659,TANet,140.110.0.0/15,140.111.0.0,Long’anpo,0
1659,TANet,140.128.0.0/13,140.132.0.0,Daxi,0
1659,TANet,163.32.0.0/16,163.32.128.0,Zuoying,0
1659,TANet,210.243.0.0/18,210.243.32.0,Beitou,0
9924,TFN,175.99.0.0/18,175.99.32.0,Taipei City,0
3462,HiNet,210.65.21.0/24,210.65.21.128,Taipei,8
4780,SEEDNet,61.56.245.0/24,61.56.245.128,Neihu District,5
4780,SEEDNet,49.213.187.0/24,49.213.187.128,Taichung,8
4780,SEEDNet,106.104.98.0/24,106.104.98.128,Tainan City,5
4780,SEEDNet,61.61.157.0/24,61.61.157.128,New Taipei City,5
3462,HiNet,192.254.86.0/24,192.254.86.128,Kaohsiung,8
4780,SEEDNet,123.51.143.0/24,123.51.143.128,Taoyuan District,5
4780,SEEDNet,210.244.81.0/24,210.244.81.128,Banqiao,5
9924,TFN,61.31.28.0/24,61.31.28.128,Songshan,5
4780,SEEDNet,106.105.18.0/24,106.105.18.128,Chiayi City,5
3462,HiNet,202.126.77.0/24,202.126.77.128,Hsinchu,8
1659,TANet,192.192.21.0/24,192.192.21.128,Yingge District,5
4780,SEEDNet,175.181.37.0/24,175.181.37.128,Zhongli District,5
4780,SEEDNet,210.66.47.0/24,210.66.47.128,Chiyayi County,5
4780,SEEDNet,122.146.91.0/24,122.146.91.128,Zhubei,5
4780,SEEDNet,106.105.34.0/24,106.105.34.128,Chang-hua,5
4780,SEEDNet,203.70.16.0/24,203.70.16.128,Shenkeng District,5
4780,SEEDNet,123.205.76.0/24,123.205.76.128,Yunlin,5
9924,TFN,219.86.255.0/24,219.86.255.128,Nantou City,5
4780,SEEDNet,210.243.192.0/19,210.243.208.0,Hsinchu County,0
1659,TANet,203.72.0.0/21,203.72.4.0,Yilan,2
4780,SEEDNet,61.59.12.0/24,61.59.12.128,Shulin District,5
4780,SEEDNet,106.104.86.0/24,106.104.86.128,Taoyuan,5
1659,TANet,210.60.12.0/23,210.60.13.0,Tamsui,4
1659,TANet,120.96.192.0/20,120.96.200.0,Dazhi,1
3462,HiNet,61.227.0.0/16,61.227.128.0,Pingtung City,0
1659,TANet,203.64.8.0/21,203.64.12.0,Hualien City,2
4780,SEEDNet,123.51.169.0/24,123.51.169.128,Sanchong District,5
3462,HiNet,59.126.0.0/16,59.126.128.0,Miaoli,0
1659,TANet,120.113.64.0/18,120.113.96.0,Douliu,0
4780,SEEDNet,175.182.41.0/24,175.182.41.128,Xitun,5
9924,TFN,60.198.128.0/20,60.198.136.0,Caotun,1
9924,TFN,124.9.96.0/19,124.9.112.0,Yuanlin,0
4780,SEEDNet,106.104.128.0/18,106.104.160.0,Fongshan District,0
3462,HiNet,211.20.0.0/16,211.20.128.0,Taichung City,0
4780,SEEDNet,122.147.216.0/24,122.147.216.128,Da'an,5
4780,SEEDNet,210.64.64.0/18,210.64.96.0,Yongkang District,0
1659,TANet,210.240.0.0/16,210.240.128.0,Taitung,0
9924,TFN,175.96.128.0/17,175.96.192.0,Poxin,0
3462,HiNet,211.22.33.0/24,211.22.33.128,Taipei,8
4780,SEEDNet,61.56.249.0/24,61.56.249.128,Neihu District,5
4780,SEEDNet,49.213.226.0/24,49.213.226.128,Taichung,8
4780,SEEDNet,106.104.99.0/24,106.104.99.128,Tainan City,5
4780,SEEDNet,61.61.158.0/24,61.61.158.128,New Taipei City,5
4780,SEEDNet,112.104.187.0/24,112.104.187.128,Kaohsiung,8
4780,SEEDNet,123.204.18.0/24,123.204.18.128,Taoyuan District,5
